PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-01-2017,2017,1,1,92.67,11932.9,18186.8,19567.7,93.67,3199.93,2.83
01-01-2017,2017,1,2,92.67,11932.9,18186.8,19567.7,93.67,3199.93,2.83
01-01-2017,2017,1,3,92.67,11932.9,18186.8,19567.7,93.67,3199.93,2.83
01-01-2017,2017,1,4,92.67,11932.9,18186.8,19567.7,93.67,3199.93,2.83
01-01-2017,2017,1,5,92.67,11932.9,18186.8,19567.7,93.67,3199.93,2.83
01-02-2017,2017,2,1,92.58,12025.03,18856.2,20133.7,94.24,3182.94,2.83
01-02-2017,2017,2,2,92.58,12025.03,18856.2,20133.7,94.24,3182.94,2.83
01-02-2017,2017,2,3,92.58,12025.03,18856.2,20133.7,94.24,3182.94,2.83
01-02-2017,2017,2,4,92.58,12025.03,18856.2,20133.7,94.24,3182.94,2.83
01-02-2017,2017,2,5,92.58,12025.03,18856.2,20133.7,94.24,3182.94,2.83
01-03-2017,2017,3,1,92.48,12117.17,19525.6,20699.7,94.81,3165.95,2.84
01-03-2017,2017,3,2,92.48,12117.17,19525.6,20699.7,94.81,3165.95,2.84
01-03-2017,2017,3,3,92.48,12117.17,19525.6,20699.7,94.81,3165.95,2.84
01-03-2017,2017,3,4,92.48,12117.17,19525.6,20699.7,94.81,3165.95,2.84
01-03-2017,2017,3,5,92.48,12117.17,19525.6,20699.7,94.81,3165.95,2.84
01-04-2017,2017,4,1,92.39,12209.3,20195,21265.7,95.38,3148.96,2.84
01-04-2017,2017,4,2,92.39,12209.3,20195,21265.7,95.38,3148.96,2.84
01-04-2017,2017,4,3,92.39,12209.3,20195,21265.7,95.38,3148.96,2.84
01-04-2017,2017,4,4,92.39,12209.3,20195,21265.7,95.38,3148.96,2.84
01-04-2017,2017,4,5,92.39,12209.3,20195,21265.7,95.38,3148.96,2.84
01-05-2017,2017,5,1,92.53,12280.07,20556.3,21669.6,95.13,3196.26,2.84
01-05-2017,2017,5,2,92.53,12280.07,20556.3,21669.6,95.13,3196.26,2.84
01-05-2017,2017,5,3,92.53,12280.07,20556.3,21669.6,95.13,3196.26,2.84
01-05-2017,2017,5,4,92.53,12280.07,20556.3,21669.6,95.13,3196.26,2.84
01-05-2017,2017,5,5,92.53,12280.07,20556.3,21669.6,95.13,3196.26,2.84
01-06-2017,2017,6,1,92.68,12350.83,20917.6,22073.5,94.89,3243.55,2.84
01-06-2017,2017,6,2,92.68,12350.83,20917.6,22073.5,94.89,3243.55,2.84
01-06-2017,2017,6,3,92.68,12350.83,20917.6,22073.5,94.89,3243.55,2.84
01-06-2017,2017,6,4,92.68,12350.83,20917.6,22073.5,94.89,3243.55,2.84
01-06-2017,2017,6,5,92.68,12350.83,20917.6,22073.5,94.89,3243.55,2.84
01-07-2017,2017,7,1,92.82,12421.6,21278.9,22477.4,94.64,3290.85,2.84
01-07-2017,2017,7,2,92.82,12421.6,21278.9,22477.4,94.64,3290.85,2.84
01-07-2017,2017,7,3,92.82,12421.6,21278.9,22477.4,94.64,3290.85,2.84
01-07-2017,2017,7,4,92.82,12421.6,21278.9,22477.4,94.64,3290.85,2.84
01-07-2017,2017,7,5,92.82,12421.6,21278.9,22477.4,94.64,3290.85,2.84
01-08-2017,2017,8,1,93.05,12490.33,22033.57,23153.8,95,3312.15,2.84
01-08-2017,2017,8,2,93.05,12490.33,22033.57,23153.8,95,3312.15,2.84
01-08-2017,2017,8,3,93.05,12490.33,22033.57,23153.8,95,3312.15,2.84
01-08-2017,2017,8,4,93.05,12490.33,22033.57,23153.8,95,3312.15,2.84
01-08-2017,2017,8,5,93.05,12490.33,22033.57,23153.8,95,3312.15,2.84
01-09-2017,2017,9,1,93.27,12559.07,22788.23,23830.2,95.37,3333.45,2.85
01-09-2017,2017,9,2,93.27,12559.07,22788.23,23830.2,95.37,3333.45,2.85
01-09-2017,2017,9,3,93.27,12559.07,22788.23,23830.2,95.37,3333.45,2.85
01-09-2017,2017,9,4,93.27,12559.07,22788.23,23830.2,95.37,3333.45,2.85
01-09-2017,2017,9,5,93.27,12559.07,22788.23,23830.2,95.37,3333.45,2.85
01-10-2017,2017,10,1,93.5,12627.8,23542.9,24506.6,95.73,3354.75,2.85
01-10-2017,2017,10,2,93.5,12627.8,23542.9,24506.6,95.73,3354.75,2.85
01-10-2017,2017,10,3,93.5,12627.8,23542.9,24506.6,95.73,3354.75,2.85
01-10-2017,2017,10,4,93.5,12627.8,23542.9,24506.6,95.73,3354.75,2.85
01-10-2017,2017,10,5,93.5,12627.8,23542.9,24506.6,95.73,3354.75,2.85
01-11-2017,2017,11,1,93.89,12668.7,22429.8,23310.33,95.53,3349.21,2.85
01-11-2017,2017,11,2,93.89,12668.7,22429.8,23310.33,95.53,3349.21,2.85
01-11-2017,2017,11,3,93.89,12668.7,22429.8,23310.33,95.53,3349.21,2.85
01-11-2017,2017,11,4,93.89,12668.7,22429.8,23310.33,95.53,3349.21,2.85
01-11-2017,2017,11,5,93.89,12668.7,22429.8,23310.33,95.53,3349.21,2.85
01-12-2017,2017,12,1,94.29,12709.6,21316.7,22114.07,95.34,3343.68,2.85
01-12-2017,2017,12,2,94.29,12709.6,21316.7,22114.07,95.34,3343.68,2.85
01-12-2017,2017,12,3,94.29,12709.6,21316.7,22114.07,95.34,3343.68,2.85
01-12-2017,2017,12,4,94.29,12709.6,21316.7,22114.07,95.34,3343.68,2.85
01-12-2017,2017,12,5,94.29,12709.6,21316.7,22114.07,95.34,3343.68,2.85
01-01-2018,2018,1,1,94.68,12750.5,20203.6,20917.8,95.14,3338.14,2.85
01-01-2018,2018,1,2,94.68,12750.5,20203.6,20917.8,95.14,3338.14,2.85
01-01-2018,2018,1,3,94.68,12750.5,20203.6,20917.8,95.14,3338.14,2.85
01-01-2018,2018,1,4,94.68,12750.5,20203.6,20917.8,95.14,3338.14,2.85
01-01-2018,2018,1,5,94.68,12750.5,20203.6,20917.8,95.14,3338.14,2.85
01-02-2018,2018,2,1,94.48,12867.6,20934.47,21522.9,95.72,3253.4,2.85
01-02-2018,2018,2,2,94.48,12867.6,20934.47,21522.9,95.72,3253.4,2.85
01-02-2018,2018,2,3,94.48,12867.6,20934.47,21522.9,95.72,3253.4,2.85
01-02-2018,2018,2,4,94.48,12867.6,20934.47,21522.9,95.72,3253.4,2.85
01-02-2018,2018,2,5,94.48,12867.6,20934.47,21522.9,95.72,3253.4,2.85
01-03-2018,2018,3,1,94.29,12984.7,21665.33,22128,96.3,3168.66,2.85
01-03-2018,2018,3,2,94.29,12984.7,21665.33,22128,96.3,3168.66,2.85
01-03-2018,2018,3,3,94.29,12984.7,21665.33,22128,96.3,3168.66,2.85
01-03-2018,2018,3,4,94.29,12984.7,21665.33,22128,96.3,3168.66,2.85
01-03-2018,2018,3,5,94.29,12984.7,21665.33,22128,96.3,3168.66,2.85
01-04-2018,2018,4,1,94.09,13101.8,22396.2,22733.1,96.88,3083.92,2.85
01-04-2018,2018,4,2,94.09,13101.8,22396.2,22733.1,96.88,3083.92,2.85
01-04-2018,2018,4,3,94.09,13101.8,22396.2,22733.1,96.88,3083.92,2.85
01-04-2018,2018,4,4,94.09,13101.8,22396.2,22733.1,96.88,3083.92,2.85
01-04-2018,2018,4,5,94.09,13101.8,22396.2,22733.1,96.88,3083.92,2.85
01-05-2018,2018,5,1,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
01-05-2018,2018,5,2,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
01-05-2018,2018,5,3,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
01-05-2018,2018,5,4,94.38,13161.13,22746.6,23149.87,96.88,2977.87,2.85
